Ingredient,Purpose,SimpleName,HealthNotes,Category
"Ascorbic Acid","Preservative / Antioxidant","Vitamin C","Natural antioxidant that prevents oxidation. Generally recognized as safe.","Vitamin"
"Citric Acid","Acidity Regulator","Citrus Acid","Natural preservative found in citrus fruits. Safe for general consumption.","Acidity Regulator"
"Sodium Benzoate","Preservative","Benzoate","Prevents bacteria and mold growth. May form benzene when combined with Vitamin C.","Preservative"
"Potassium Sorbate","Preservative","Sorbate","Prevents mold and yeast growth. Generally recognized as safe.","Preservative"
"Calcium Propionate","Preservative","Propionate","Prevents mold in baked goods. Generally safe for most people.","Preservative"
"Titanium Dioxide","Colouring Agent","Titanium White","Used as a whitening agent. EU banned in food in 2022 due to genotoxicity concerns.","Colour"
"Sunset Yellow FCF","Colouring Agent","Yellow 6","Synthetic yellow dye. Requires warning label 'may have an adverse effect on activity and attention in children' in EU.","Colour"
"Tartrazine","Colouring Agent","Yellow 5","Synthetic yellow dye. May cause allergic reactions and hyperactivity in children.","Colour"
"Allura Red AC","Colouring Agent","Red 40","Most widely used synthetic red dye. Linked to hyperactivity in some studies.","Colour"
"Brilliant Blue FCF","Colouring Agent","Blue 1","Synthetic blue dye. Generally approved but banned in some countries.","Colour"
"Indigotine","Colouring Agent","Blue 2","Synthetic blue dye. Linked to brain tumors in rats at high doses.","Colour"
"Monosodium Glutamate","Flavour Enhancer","MSG","Enhances savory/umami taste. GRAS by FDA. Some sensitive individuals may report mild symptoms (Chinese restaurant syndrome).","Flavour Enhancer"
"MSG","Flavour Enhancer","MSG","Monosodium Glutamate. Enhances savory taste. GRAS by FDA.","Flavour Enhancer"
"Disodium Inosinate","Flavour Enhancer","I+G","Nucleotide flavor enhancer. Often used with MSG. Generally safe.","Flavour Enhancer"
"Disodium Guanylate","Flavour Enhancer","I+G","Nucleotide flavor enhancer. Often used with MSG. Generally safe.","Flavour Enhancer"
"Hydrolyzed Vegetable Protein","Flavour Enhancer","HVP","Plant protein broken down for savory flavor. Contains natural glutamates.","Flavour Enhancer"
"Yeast Extract","Flavour Enhancer","Yeast Extract","Natural umami source. Contains naturally occurring glutamates.","Flavour Enhancer"
"Soy Lecithin","Emulsifier","Soy Lecithin","Helps blend oil and water. Derived from soybeans. May cause issues in soy-allergic individuals.","Emulsifier"
"Sunflower Lecithin","Emulsifier","Sunflower Lecithin","Helps blend oil and water. Non-GMO alternative to soy lecithin.","Emulsifier"
"Xanthan Gum","Thickener / Stabiliser","Xanthan Gum","Natural polysaccharide thickener. Produced by bacterial fermentation. Generally safe.","Thickener"
"Guar Gum","Thickener / Stabiliser","Guar Gum","Natural fiber-based thickener. May have mild laxative effect in large amounts.","Thickener"
